"cell","left","top","right","bottom","GD_mean","GD_median","nb_species","nb_indv_mean","nb_indv_median","nb_indv_sd"
3759,-7.3675304452e6,4.4577698635e6,-7.1675304452e6,4.2577698635e6,0.00486416906171096,0.0033068621898226175,11,4.0,3.0,2.5298221281347035
3760,-7.3675304452e6,4.6577698635e6,-7.1675304452e6,4.4577698635e6,0.011571807156666452,0.004310000538414007,6,5.0,3.0,5.019960159204453
3761,-7.3675304452e6,4.8577698635e6,-7.1675304452e6,4.6577698635e6,0.0025562372188139065,0.0029652351738241314,4,4.0,4.5,1.4142135623730951
3763,-7.3675304452e6,5.2577698635e6,-7.1675304452e6,5.0577698635e6,0.002757422555479815,0.0024284253578732108,4,3.25,3.0,1.5
3764,-7.3675304452e6,5.4577698635e6,-7.1675304452e6,5.2577698635e6,0.003067484662576687,0.003067484662576687,1,2.0,2.0,NaN
3782,-7.1675304452e6,-5.7422301365e6,-6.9675304452e6,-5.9422301365e6,0.004625117061330581,0.004672897196261682,3,2.0,2.0,0.0
3786,-7.1675304452e6,-4.9422301365e6,-6.9675304452e6,-5.1422301365e6,0.0006134969325153375,0.0006134969325153375,1,5.0,5.0,NaN
3787,-7.1675304452e6,-4.7422301365e6,-6.9675304452e6,-4.9422301365e6,0.000914236601539321,0.00038402639265694275,4,4.0,4.5,1.4142135623730951
3788,-7.1675304452e6,-4.5422301365e6,-6.9675304452e6,-4.7422301365e6,0.0,0.0,2,3.0,3.0,1.4142135623730951
3789,-7.1675304452e6,-4.3422301365e6,-6.9675304452e6,-4.5422301365e6,0.01047706391726741,0.001552156931158472,19,4.947368421052632,5.0,1.1290942392774796
3791,-7.1675304452e6,-3.9422301365e6,-6.9675304452e6,-4.1422301365e6,0.0049079754601227,0.0049079754601227,1,5.0,5.0,NaN
3799,-7.1675304452e6,-2.3422301365e6,-6.9675304452e6,-2.5422301365e6,0.002847614846893086,0.002847614846893086,1,6.0,6.0,NaN
3834,-7.1675304452e6,4.6577698635e6,-6.9675304452e6,4.4577698635e6,0.003069847901916115,0.0015408320493066256,3,2.6666666666666665,2.0,1.1547005383792515
3835,-7.1675304452e6,4.8577698635e6,-6.9675304452e6,4.6577698635e6,0.018466621251611772,0.003067484662576687,11,4.090909090909091,4.0,1.8683974659876552
3836,-7.1675304452e6,5.0577698635e6,-6.9675304452e6,4.8577698635e6,0.007688568720117277,0.007688568720117277,2,7.0,7.0,7.0710678118654755
3837,-7.1675304452e6,5.2577698635e6,-6.9675304452e6,5.0577698635e6,0.005782923960838072,0.003067484662576687,10,3.4,3.0,2.1186998109427604
3838,-7.1675304452e6,5.4577698635e6,-6.9675304452e6,5.2577698635e6,0.009720334547083395,0.002556237218813906,9,4.666666666666667,4.0,2.0
3865,-6.9675304452e6,-3.9422301365e6,-6.7675304452e6,-4.1422301365e6,0.04251522778869809,0.014972246567338593,10,4.7,5.0,2.213594362117866
3867,-6.9675304452e6,-3.5422301365e6,-6.7675304452e6,-3.7422301365e6,0.09743005753944839,0.09750489654472554,3,7.0,2.0,8.660254037844387
3872,-6.9675304452e6,-2.5422301365e6,-6.7675304452e6,-2.7422301365e6,0.13416328567748584,0.13416328567748584,1,3.0,3.0,NaN
3873,-6.9675304452e6,-2.3422301365e6,-6.7675304452e6,-2.5422301365e6,0.12113477532811559,0.13687249020310982,4,3.75,4.0,1.5
