"cell","left","top","right","bottom","GD_mean","GD_median","nb_species","nb_indv_mean","nb_indv_median","nb_indv_sd"
3242,-8.7675304452e6,4.6577698635e6,-8.5675304452e6,4.4577698635e6,0.0017041581458759373,0.0015337423312883436,6,3.1666666666666665,2.5,1.4719601443879744
3243,-8.7675304452e6,4.8577698635e6,-8.5675304452e6,4.6577698635e6,0.014826175869120654,0.015337423312883437,4,2.5,2.5,0.5773502691896257
3244,-8.7675304452e6,5.0577698635e6,-8.5675304452e6,4.8577698635e6,0.015131258957093847,0.0031280769522078313,14,5.0,2.5,7.874007874011811
3245,-8.7675304452e6,5.2577698635e6,-8.5675304452e6,5.0577698635e6,0.0070386830862788135,0.0023006134969325155,7,4.428571428571429,4.0,0.9759000729485332
3246,-8.7675304452e6,5.4577698635e6,-8.5675304452e6,5.2577698635e6,0.0156441717791411,0.004601226993865031,3,3.0,2.0,1.7320508075688772
3304,-8.5675304452e6,2.2577698635e6,-8.3675304452e6,2.0577698635e6,0.0076616653670177285,0.0076616653670177285,2,2.0,2.0,0.0
3305,-8.5675304452e6,2.4577698635e6,-8.3675304452e6,2.2577698635e6,0.0011650263023000144,0.0004613028669890343,6,5.5,4.0,4.230839160261236
3306,-8.5675304452e6,2.6577698635e6,-8.3675304452e6,2.4577698635e6,0.0004301075268817203,0.0004301075268817203,1,15.0,15.0,NaN
3312,-8.5675304452e6,3.8577698635e6,-8.3675304452e6,3.6577698635e6,0.012480745726736854,0.00408997955010225,11,3.727272727272727,3.0,1.954016841836789
3313,-8.5675304452e6,4.0577698635e6,-8.3675304452e6,3.8577698635e6,0.0174130966910255,0.006172839506172839,19,2.4210526315789473,2.0,0.5072572735017881
3314,-8.5675304452e6,4.2577698635e6,-8.3675304452e6,4.0577698635e6,0.008242440934142715,0.0007696758146303312,26,3.0384615384615383,2.5,1.3705697860603592
3315,-8.5675304452e6,4.4577698635e6,-8.3675304452e6,4.2577698635e6,0.013079435258240159,0.0032208588957055215,18,2.7222222222222223,2.0,1.0178151661369075
3316,-8.5675304452e6,4.6577698635e6,-8.3675304452e6,4.4577698635e6,0.029959918200409,0.030267484662576685,4,2.75,3.0,0.5
3317,-8.5675304452e6,4.8577698635e6,-8.3675304452e6,4.6577698635e6,0.006490191974416339,0.004544801126746788,4,7.0,2.0,10.0
3318,-8.5675304452e6,5.0577698635e6,-8.3675304452e6,4.8577698635e6,0.011201630211556289,0.002565704764068772,14,5.071428571428571,2.0,8.956856297009276
3319,-8.5675304452e6,5.2577698635e6,-8.3675304452e6,5.0577698635e6,0.017105584427276537,0.005131409528137544,5,9.2,3.0,14.989996664442591
3320,-8.5675304452e6,5.4577698635e6,-8.3675304452e6,5.2577698635e6,0.009032038173142467,0.0081799591002045,3,2.6666666666666665,3.0,0.5773502691896258
3386,-8.3675304452e6,3.8577698635e6,-8.1675304452e6,3.6577698635e6,0.011083619669000134,0.0,11,3.909090909090909,3.0,3.015113445777636
3387,-8.3675304452e6,4.0577698635e6,-8.1675304452e6,3.8577698635e6,0.03541356408601179,0.004220544281893976,20,3.1,2.0,2.04939015319192
3388,-8.3675304452e6,4.2577698635e6,-8.1675304452e6,4.0577698635e6,0.005341376102030771,0.0015384615384615385,21,4.190476190476191,4.0,1.833549770773829
3389,-8.3675304452e6,4.4577698635e6,-8.1675304452e6,4.2577698635e6,0.006092486692434724,0.0030911901081916537,35,3.342857142857143,3.0,1.8461861664914883
3390,-8.3675304452e6,4.6577698635e6,-8.1675304452e6,4.4577698635e6,0.014621676891615544,0.015439672801635992,4,3.25,2.5,1.8929694486000912
3391,-8.3675304452e6,4.8577698635e6,-8.1675304452e6,4.6577698635e6,0.006850715746421268,0.005828220858895707,3,5.0,5.0,0.0
3393,-8.3675304452e6,5.2577698635e6,-8.1675304452e6,5.0577698635e6,0.0015337423312883436,0.0015337423312883436,1,2.0,2.0,NaN
3394,-8.3675304452e6,5.4577698635e6,-8.1675304452e6,5.2577698635e6,0.008038585209003215,0.008038585209003215,1,2.0,2.0,NaN
3455,-8.1675304452e6,2.8577698635e6,-7.9675304452e6,2.6577698635e6,0.005246913580246914,0.0030864197530864196,5,2.4,2.0,0.5477225575051661
3458,-8.1675304452e6,3.4577698635e6,-7.9675304452e6,3.2577698635e6,0.0,0.0,1,2.0,2.0,NaN
3460,-8.1675304452e6,3.8577698635e6,-7.9675304452e6,3.6577698635e6,0.03645951567590816,0.03645951567590816,2,5.0,5.0,0.0
3461,-8.1675304452e6,4.0577698635e6,-7.9675304452e6,3.8577698635e6,0.02147239263803681,0.02147239263803681,2,2.0,2.0,0.0
3462,-8.1675304452e6,4.2577698635e6,-7.9675304452e6,4.0577698635e6,0.01163192275824553,0.003450920245398773,16,4.125,4.0,2.217355782608345
3463,-8.1675304452e6,4.4577698635e6,-7.9675304452e6,4.2577698635e6,0.007166228454572012,0.00408997955010225,15,3.8666666666666667,4.0,1.6846647257229665
3464,-8.1675304452e6,4.6577698635e6,-7.9675304452e6,4.4577698635e6,0.015702944463979726,0.013803680981595092,9,3.111111111111111,3.0,1.2692955176439846
3465,-8.1675304452e6,4.8577698635e6,-7.9675304452e6,4.6577698635e6,0.013271131561008863,0.015039195637355148,4,4.0,2.5,3.366501646120693
3466,-8.1675304452e6,5.0577698635e6,-7.9675304452e6,4.8577698635e6,0.008241308793456035,0.0,5,3.6,2.0,2.1908902300206647
3467,-8.1675304452e6,5.2577698635e6,-7.9675304452e6,5.0577698635e6,0.004601226993865031,0.004601226993865031,1,2.0,2.0,NaN
3530,-7.9675304452e6,3.0577698635e6,-7.7675304452e6,2.8577698635e6,0.0030864197530864196,0.0030864197530864196,1,2.0,2.0,NaN
3531,-7.9675304452e6,3.2577698635e6,-7.7675304452e6,3.0577698635e6,0.007992258252994449,0.0,4,2.5,2.5,0.5773502691896257
3532,-7.9675304452e6,3.4577698635e6,-7.7675304452e6,3.2577698635e6,0.003115264797507788,0.003115264797507788,1,2.0,2.0,NaN
3533,-7.9675304452e6,3.6577698635e6,-7.7675304452e6,3.4577698635e6,0.026572146463912233,0.007898894154818325,4,2.0,2.0,0.0
3534,-7.9675304452e6,3.8577698635e6,-7.7675304452e6,3.6577698635e6,0.003067484662576687,0.003067484662576687,2,3.0,3.0,1.4142135623730951
3535,-7.9675304452e6,4.0577698635e6,-7.7675304452e6,3.8577698635e6,0.027903728717546778,0.027903728717546778,1,4.0,4.0,NaN
3536,-7.9675304452e6,4.2577698635e6,-7.7675304452e6,4.0577698635e6,0.009082858603564125,0.0,8,4.0,4.0,1.6903085094570331
3537,-7.9675304452e6,4.4577698635e6,-7.7675304452e6,4.2577698635e6,0.00673528949097336,0.003067484662576687,17,3.235294117647059,3.0,1.200490095997562
