"","cell","x","y","GD_mean","GD_median","nb_species","nb_indv_mean","nb_indv_median","nb_indv_sd","ISO3","Cell","cloMeanVal","cloMinVal","cloMaxVal","bathyVal","AP","HDI_2015","fshD","O2","SST","VEL","is_marine","SlopeAbsMin","SlopeAvgMin","SlopeAbsMax","SlopeAvgMax","SlopeRange","SlopeAvg","FlowAcc"
"270",4759,-4467530.4452,-2842230.1365,0.0141242168576317,0.00193619108143479,50,5.28,5,3.30762878256695,"BRA","Land",1.86583334207535,1.03883334000905,2.65916665395101,864.344712182062,TRUE,"0.754",0.051812975,4.72854544251208,20.2988012769412,4.13004149556038,0,0,26.0661220715166,2193,882.199290998767,856.123150431566,278.666923551171,915.692971639951
"271",4760,-4467530.4452,-2642230.1365,0.00622771784043171,0.00296850389226372,14,5.85714285714286,4.5,5.03613317562566,"BRA","Land",NA,NA,NA,887.674159323863,TRUE,"0.754",0.051812975,4.96953036414105,20.8647798722046,4.3886542861534,0,0,20.9402597402597,2000,795.213260423787,775.941216678059,211.511688311688,3472.90840738209
"272",4761,-4467530.4452,-2442230.1365,0.0171163485956615,0.00838509316770186,19,4.73684210526316,3,5.54619093776338,"BRA","Land",NA,NA,NA,892.817218623237,TRUE,"0.754",0.051812975,5,21.2349425593575,4.64907575746668,0,0,18.4088881809493,2000,520.070086014654,501.720611659764,165.659127110545,2825.71487734947
"273",4762,-4467530.4452,-2242230.1365,0.0262074599997658,0.0258969027236777,7,3.28571428571429,2,1.88982236504614,"BRA","Land",NA,NA,NA,731.446391627115,TRUE,"0.754",0.051812975,NA,21.9158608837381,5.06657221767695,0,0,14.0207939508507,968,433.636263390044,419.689508506616,130.116414618778,3890.56852551985
"274",4763,-4467530.4452,-2042230.1365,0.0168527976788581,0.00308641975308642,13,2.92307692307692,2,1.32045058354705,"BRA","Land",NA,NA,NA,699.948203068685,TRUE,"0.754",0.051812975,NA,22.6349449512984,5.60833111310075,0,0,12.6168333333333,1111,404.314833333333,391.754166666667,125.2075,1845.627
"275",4764,-4467530.4452,-1842230.1365,0.0366826156299841,0.0366826156299841,1,2,2,NA,"BRA","Land",NA,NA,NA,739.372855524663,TRUE,"0.754",0.051812975,NA,23.3450121642871,6.08437221200468,0,0,13.0410778836674,1554,467.249260598094,454.255668747946,131.222149194873,779.829608938547
"276",4765,-4467530.4452,-1642230.1365,0.108832807570978,0.108832807570978,1,2,2,NA,"BRA","Land",NA,NA,NA,664.611794327569,TRUE,"0.754",0.051812975,NA,23.9700705116968,6.36628701806155,0,0,12.4739314943922,1619,409.061533798121,396.622158229767,112.153986056381,1028.5580478933
"277",4767,-4467530.4452,-1242230.1365,0.0838580108583601,0.0838580108583601,1,6,6,NA,"BRA","Land",NA,NA,NA,474.203010996867,TRUE,"0.754",0.051812975,NA,25.0479541712169,6.22686271150386,0,0,12.6140155728587,1066,394.993140526511,382.477567667779,112.170003707824,731.330923248053
"278",4772,-4467530.4452,-242230.1365,0.0368589743589744,0.0368589743589744,1,2,2,NA,"BRA","Land",6.28400000711767,4.26807318518801,10.6680244352759,48.6501324446723,TRUE,"0.754",0.051812975,4.0000299622217,26.3470420771495,7.35724061761819,0,0,4.20227057710501,481,118.751939451277,114.552128666036,37.0959318826868,2232.30122989593
"279",4833,-4267530.4452,-2842230.1365,0.0168703379447025,0.00137019610096469,28,6.17857142857143,5,3.70238733220499,"BRA","Land",2.28370530600997,1.35649758836497,3.63771981619982,458.482400188991,TRUE,"0.754",0.051812975,4.42401781486681,20.3387984246553,3.89373914604844,0,0,53.081004870546,2484,1360.28120994617,1307.21481671366,461.107152012305,1795.40143552935
"280",4834,-4267530.4452,-2642230.1365,0.0170913842907643,0.0148854658636278,10,3.2,3,1.13529242439509,"BRA","Land",NA,NA,NA,950.015944374513,TRUE,"0.754",0.051812975,4.47311979914463,20.8272912981158,4.35853549160085,0,0,22.5987034035656,2000,689.703079416532,667.198703403566,204.234521880065,842.345056726094
