cell,ISO3,Cell,cloMeanVal,cloMinVal,cloMaxVal,bathyVal,AP,HDI_2015,fshD
3463,USA,Land,NA,NA,NA,465.568333419515,TRUE,0.920,0.05036092
3464,USA,Land,NA,NA,NA,271.836685654753,TRUE,0.920,0.05036092
3465,USA,Land,NA,NA,NA,272.733290887126,TRUE,0.920,0.05036092
3466,USA,Land,NA,NA,NA,231.040350377889,TRUE,0.920,0.05036092
3467,USA,Land,NA,NA,NA,192.374318567044,TRUE,0.920,0.05036092
3468,CAN,Land,NA,NA,NA,361.532509600446,TRUE,0.920,0.072074993
3511,PER,Sea,1.53348974703656,0.722624146313765,2.70487699408194,-3002.24132318749,TRUE,0.740,0.17779782
3512,PER,Sea,1.75391394430523,0.925937689022777,3.32272107204981,-2127.76632455749,TRUE,0.740,0.17779782
3513,PER,Sea,1.02676818086342,0.673759090968154,1.61199318563396,-2103.2385713065,TRUE,0.740,0.17779782
3521,PAN,Sea,0.592959593417066,0.295646464006869,1.20300000103234,-445.696250972476,TRUE,0.788,0.099482169
3527,CYM,Sea,0.0827320002317429,0.061924000069499,0.116292000219226,-3906.69417367964,TRUE,0.910,0.063119295
3529,CUB,Sea,2.89342586517522,1.71013249195995,4.66818926229556,-533.274853107009,TRUE,0.775,0.28860802
3530,CUB,Sea,0.604764355335495,0.385718813258232,0.929930690904655,-760.467469879518,TRUE,0.775,0.28860802
3531,USA,Sea,3.35162028195201,2.14112173603929,5.36003187281498,-7.82396895273401,TRUE,0.920,0.05036092
3532,USA,Land,8.47282266136139,3.72343546777002,16.5156935895643,16.1836921144293,TRUE,0.920,0.05036092
3533,USA,Land,2.35339533450992,1.16094573073147,4.13234107531318,15.327374614738,TRUE,0.920,0.05036092
3534,USA,Land,3.69653718813884,2.47481403573732,5.40179338041416,7.77981651376147,TRUE,0.920,0.05036092
3535,USA,Land,8.19676915193215,6.23869234476334,11.4853075956687,55.1929331676482,TRUE,0.920,0.05036092
3536,USA,Land,NA,NA,NA,203.364827731981,TRUE,0.920,0.05036092
3537,USA,Land,NA,NA,NA,650.893875932916,TRUE,0.920,0.05036092
3538,USA,Land,NA,NA,NA,383.812673287291,TRUE,0.920,0.05036092
3539,USA,Land,NA,NA,NA,310.983805139256,TRUE,0.920,0.05036092
3540,CAN,Land,NA,NA,NA,207.176343167947,TRUE,0.920,0.072074993
3541,CAN,Land,NA,NA,NA,165.850107654954,TRUE,0.920,0.072074993
3542,CAN,Land,NA,NA,NA,347.682760238032,TRUE,0.920,0.072074993
3569,CHL,Sea,0.195965217248253,0.141633043716783,0.252389565110207,-3575.85940860215,TRUE,0.847,0.088980488
3583,PER,Sea,1.65342765900683,0.618210639059544,3.07510851266536,-1848.19078280696,TRUE,0.740,0.17779782
3584,PER,Sea,2.85546342356176,1.19292072788244,5.41426829303183,139.041022920204,TRUE,0.740,0.17779782
3585,PER,Land,2.9639772826975,1.62976136329499,6.20759090239351,1061.96370967742,TRUE,0.740,0.17779782
3587,ECU,Land,5.21504614903377,3.13746155041915,10.7308461372669,1436.91096859986,TRUE,0.739,0.146381526
