x	y	cell	GD_mean	GD_median	nb_species	nb_indv_mean	nb_indv_median	nb_indv_sd	ISO3	Cell	cloMeanVal	cloMinVal	cloMaxVal	bathyVal	AP	HDI_2015	fshD	O2	SST	VEL	basin_area	is_marine
2132469.5548	4757769.8635	7239	0.002472977791178	0.001533742331288	15	6.73333333333333	6	4.46360947259161	GRC	Land	1.40588159153336	0.599999992078856	3.06965794296641	570.505191497698	TRUE	0.866	0.080343958	5.00612391304243	12.3449003947859	4.50536508434045	5551.57371186	0
2332469.5548	157769.8635	7290	0.019417889708028	0.004608294930876	22	2.13636363636364	2	0.467562529096076	COD	Land	NA	NA	NA	449.031831370541	TRUE	0.435	0.248643257	NA	24.4348928161033	6.11803842053556	3453181.86321	0
2332469.5548	357769.8635	7291	0.0086906729511	0.002329749103943	38	2.86842105263158	2	1.37881760218143	COD	Land	NA	NA	NA	482.316746739876	TRUE	0.435	0.248643257	NA	24.5640371874587	5.77446147392404	3453181.86321	0
2332469.5548	4557769.8635	7312	0.016768916155419	0.016768916155419	2	6	6	0	GRC	Sea	0.253293203786739	0.150266019508098	0.423784466015482	-201.369921716831	TRUE	0.866	0.080343958	4.95220957276613	13.6202354484212	2.51453066150011	NA	0
2332469.5548	4757769.8635	7313	0.005074982809419	0.002620375807399	7	5.85714285714286	5	3.84831441146949	GRC	Sea	0.415967826549233	0.211667560100875	0.790533514908108	8.74475478625754	TRUE	0.866	0.080343958	5.15117217284596	12.5703436167043	4.68127229928468	NA	0
2532469.5548	-4042230.1365	7343	0.002044989775051	0.002044989775051	1	3	3	NA	ZAF	Land	2.05031442362408	0.95824454480774	4.30687773162621	86.2795002231145	FALSE	0.666	0.038520176	4.9662447677099	15.8877215077052	2.72807600351466	2741.75571293	0
2532469.5548	4557769.8635	7386	0.007132426383618	0.001022494887526	5	10.8	4	14.0249777183424	GRC	Sea	0.354886553179817	0.187418067311289	0.619327728644389	-151.776898388533	TRUE	0.866	0.080343958	5.04296517338047	13.5561283133012	2.76066116556815	NA	0
2732469.5548	157769.8635	7438	0.018599786421949	0.011258697027198	16	3.3125	2	2.05649377987551	COD	Land	NA	NA	NA	776.340090520813	TRUE	0.435	0.248643257	NA	23.0669826476674	4.68871552144999	3453181.86321	0
2732469.5548	4357769.8635	7459	0.002321708658447	0.001575932654317	4	2.5	2	1	TUR	Sea	0.172301020302183	0.104420918553155	0.274053571213569	-737.837616560664	TRUE	0.767	0.038934869	4.78859824116937	13.9448525627722	2.70643637396431	NA	0
2732469.5548	4557769.8635	7460	0.002019398071397	0.000383435582822	6	2.5	2	0.836660026534076	TUR	Land	0.295666669805845	0.116333335638046	0.622333337863286	596.133521533834	FALSE	0.767	0.038934869	5.05219589238422	13.2131262202578	3.23544070861477	16791.2363571	0
2732469.5548	4757769.8635	7461	0	0	5	2.4	2	0.894427190999916	TUR	Land	4.07190436955942	1.38708366530825	9.32641435904332	127.504571130049	FALSE	0.767	0.038934869	5.53575544813115	12.4189891137999	5.87295753868918	NA	0
2732469.5548	4957769.8635	7462	0	0	1	2	2	NA	BGR	Sea	1.58092111376765	0.823784222735606	2.93219489260229	-359.269534832242	TRUE	0.794	0.03184106	5.86954390425377	11.0113165322795	8.60413772467378	NA	0
2732469.5548	5157769.8635	7463	0.004731861198738	0.004731861198738	1	2	2	NA	ROU	Land	11.4704692492118	7.32186151467837	16.5332692733178	48.3228732420175	TRUE	0.802	0.025260184	6.02775652415869	9.66748455347715	15.786534327008	802142.862437	0
2932469.5548	-3642230.1365	7493	0.076985279195741	0.076985279195741	1	4	4	NA	ZAF	Land	0.653794870035261	0.318700855613774	1.32711111709603	625.56999777018	FALSE	0.666	0.038520176	4.44367873663839	16.3913256259476	3.02504298823332	NA	0
2932469.5548	-3042230.1365	7496	0.016257668711656	0.016257668711656	1	5	5	NA	ZAF	Land	NA	NA	NA	980.233578775129	FALSE	0.666	0.038520176	4	20.1593765466722	6.01141552765591	412559.377812	0
2932469.5548	-1042230.1365	7506	0	0	1	2	2	NA	ZMB	Land	NA	NA	NA	1255.05477504244	TRUE	0.579	0.042087154	NA	21.9957496602471	4.71261557435954	232510.028516	0
2932469.5548	-842230.1365	7507	0	0	1	2	2	NA	TZA	Land	NA	NA	NA	1088.90441426146	TRUE	0.531	0.062411784	NA	22.1626522182354	4.31322754546728	232510.028516	0
2932469.5548	157769.8635	7512	0.018531672364158	0.007680491551459	39	3.48717948717949	2	2.89165582570004	COD	Land	NA	NA	NA	1096.950354156	TRUE	0.435	0.248643257	NA	22.7889746166829	4.0566107506789	23780.3721951	0
2932469.5548	3557769.8635	7529	0.000887357910862	0.000887357910862	1	6	6	NA	EGY	Land	NA	NA	NA	140.388784696174	TRUE	0.691	0.153884622	4.48687015835891	21.2721602348124	5.29768179983011	3270917.19798	0
2932469.5548	3757769.8635	7530	0.006727154765513	0.006727154765513	2	8	8	2.82842712474619	EGY	Land	1.44285799399812	0.709053255441274	2.76108283730301	-39.2994229061852	TRUE	0.691	0.153884622	4.50499177574754	20.6358871252536	5.06806257901572	3270917.19798	0
2932469.5548	4357769.8635	7533	0.001411042944785	0.001022494887526	5	3.2	3	1.6431676725155	TUR	Land	0.158176471024855	0.092041522780092	0.257913495069144	-370.452616641285	TRUE	0.767	0.038934869	4.67533796682693	13.1501768729099	2.9052595416649	NA	0
2932469.5548	4557769.8635	7534	0.001540691480335	0.000971370143149	14	3.71428571428571	3	2.26778683805536	TUR	Land	NA	NA	NA	1184.363274396	FALSE	0.767	0.038934869	5.00007902330286	12.5809607671567	3.11630579115346	70666.6484945	0
2932469.5548	4757769.8635	7535	0	0	1	4	4	NA	TUR	Land	3.23821383677189	1.38036477265868	6.25289940834045	414.869640047207	FALSE	0.767	0.038934869	5.70753169188628	11.9049319816125	4.80869161867081	70666.6484945	0
3132469.5548	-3442230.1365	7568	0.245283018867925	0.245283018867925	1	2	2	NA	ZAF	Land	0.293350365203227	0.157149634956226	0.621974449958244	-470.345570963098	TRUE	0.666	0.038520176	4.12279811374394	18.1549148951267	3.86031530044557	9406.45928459	0
3132469.5548	-3242230.1365	7569	0.026804962924861	0.026804962924861	1	29	29	NA	MOZ	Land	0.837000000941497	0.596763440397798	1.21798924028233	15.0258450068215	TRUE	0.418	0.198770698	4	19.7208445859517	5.312185301951	NA	0
3132469.5548	1157769.8635	7591	0.001536098310292	0.001536098310292	1	2	2	NA	SSD	Land	NA	NA	NA	400.818015517568	FALSE	0.418	0	NA	26.4528853051126	9.11371059281312	3270917.19798	0
3132469.5548	4357769.8635	7607	0	0	1	2	2	NA	TUR	Land	0.146220264587108	0.087678414510998	0.229299559204589	130.19180585001	FALSE	0.767	0.038934869	4.48632646855546	12.8253624842503	2.87156034227836	11213.9530005	0
3132469.5548	4557769.8635	7608	0.020880432858794	0.001730103806228	11	2.63636363636364	2	1.02691063610494	TUR	Land	NA	NA	NA	1088.31096772025	FALSE	0.767	0.038934869	4.96055527880222	12.0304246347547	2.93636517643028	70666.6484945	0
3332469.5548	-2842230.1365	7645	0.141321044546851	0.141321044546851	1	2	2	NA	MOZ	Land	1.03448718136702	0.663435901586826	1.70687179152782	104.125324828727	TRUE	0.418	0.198770698	4	22.6313965559311	8.1008177303914	NA	0
3332469.5548	3757769.8635	7678	0.000173090237711	0	4	7.5	6	4.72581562625261	ISR	Land	0.69328723316814	0.457063828297752	0.989999995428197	232.019251317195	TRUE	0.899	0.049829919	4.37369433837687	19.8938117754586	4.10182490199069	NA	0
3332469.5548	3957769.8635	7679	0.001617000876712	0.001788908765653	7	7.28571428571429	6	4.88924962594076	ISR	Sea	0.140279012348181	0.081555555696473	0.235834567929492	-841.75208457147	TRUE	0.899	0.049829919	4.4022623694697	18.618522668685	4.19944801349011	NA	0
3332469.5548	4357769.8635	7681	0.025316892264745	0.000766871165644	6	2.5	2	0.836660026534076	TUR	Land	0.26326421304391	0.129876254643485	0.431762541267385	218.461002809521	FALSE	0.767	0.038934869	4.26894877800662	13.3334920090026	3.68014269219086	NA	0
3332469.5548	4557769.8635	7682	0.010882267017236	0	7	2.14285714285714	2	0.377964473009227	TUR	Land	NA	NA	NA	1260.2867537094	FALSE	0.767	0.038934869	5.02260646465714	11.9309489068661	3.3584610960427	80636.0630102	0
3532469.5548	757769.8635	7737	0.008192524321557	0.008192524321557	1	3	3	NA	ETH	Land	NA	NA	NA	1138.62605979473	TRUE	0.448	0.001070627	NA	23.0441647382643	3.40331219474141	184419.669843	0
3532469.5548	1557769.8635	7741	0.004676565966889	0.003072196620584	3	3.33333333333333	2	2.3094010767585	ETH	Land	NA	NA	NA	1229.81367958882	TRUE	0.448	0.001070627	4	24.426251448113	7.48443296908462	3270917.19798	0
3532469.5548	3957769.8635	7753	0.00110397450467	0	9	2.44444444444444	2	0.726483157256779	SYR	Land	NA	NA	NA	732.83685414303	TRUE	0.536	0.068255017	4.2775385384864	19.0918344613897	5.52370189274292	43238.2434747	0
3532469.5548	4157769.8635	7754	0.010525661773847	0.002556237218814	9	3.88888888888889	3	2.26077666104176	SYR	Land	0.222621211725654	0.133621212546573	0.390287879967328	631.826058620447	FALSE	0.536	0.068255017	4.19245402541553	16.8757306142531	5.54133318767428	57202.8645329	0
3532469.5548	4357769.8635	7755	0.019061344550948	0.002624849805375	14	3.42857142857143	3	1.82774706692675	TUR	Land	0.330554053590104	0.230513512282758	0.484554050943336	397.688556802317	FALSE	0.767	0.038934869	4.18948521272488	14.2053775898272	4.83198154250034	57202.8645329	0
3532469.5548	4557769.8635	7756	0.002492331288344	0.001533742331288	8	2.875	2	1.80772153354911	TUR	Land	NA	NA	NA	1526.95568886424	FALSE	0.767	0.038934869	5.32669685155325	12.1990196265852	4.0237061885496	57202.8645329	0
3532469.5548	5157769.8635	7759	0.010835913312694	0.010835913312694	1	2	2	NA	RUS	Sea	3.76357360368251	1.99267681676724	7.31187142393916	-781.70751446852	TRUE	0.804	0.103526146	6.00381885297705	9.47039905760545	18.0161656800595	NA	0
3732469.5548	957769.8635	7812	0.004608294930876	0.004608294930876	1	2	2	NA	ETH	Land	NA	NA	NA	2250.6626984127	TRUE	0.448	0.001070627	NA	21.8199737527104	2.55505756864395	NA	0
3932469.5548	-242230.1365	7880	0.013588673027502	0.013588673027502	1	5	5	NA	KEN	Land	0.908709461221824	0.509168916960826	1.76588513520924	-194.474856874306	TRUE	0.555	0.022932839	4	25.0642698664533	6.90104028816389	NA	0
3932469.5548	557769.8635	7884	0.007168458781362	0.007168458781362	1	3	3	NA	ETH	Land	NA	NA	NA	761.10858247806	TRUE	0.448	0.001070627	NA	24.8352819535171	5.31683848908895	666501.960295	0
3932469.5548	4557769.8635	7904	0	0	1	2	2	NA	TUR	Land	NA	NA	NA	1299.01996269597	FALSE	0.767	0.038934869	5.94007874887322	12.33985992793	4.90029976628901	1060910.60774	0
4332469.5548	-2242230.1365	8018	0	0	1	7	7	NA	MDG	Land	3.69130507919748	2.39461016755993	4.79344066017765	325.413816883696	TRUE	0.512	0.150771644	4	23.2109518402984	3.97751945301404	NA	0
